Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,21,4,0,0.571428571428571,0.19047619047619
2,15,7,0,0.6,0.466666666666667
6,23,1,0,0.304347826086957,0.0434782608695652
9,17,8,1,0.470588235294118,0.176470588235294
11,19,4,1,0.210526315789474,0.0526315789473684
13,15,7,1,0.466666666666667,0.2
14,15,7,1,0.466666666666667,0.2
15,25,11,1,0.44,0.32
16,23,10,1,0.434782608695652,0.304347826086957
21,15,9,1,0.6,0.2
24,17,5,1,0.294117647058824,0.0588235294117647
25,15,7,0,0.6,0.466666666666667
27,21,7,1,0.333333333333333,0.19047619047619
28,17,5,1,0.294117647058824,0.176470588235294
29,17,10,1,0.588235294117647,0.294117647058824
