nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,8,4
2,4,16,1,1,1,8
3,1,32,1,1,3,8
4,4,16,1,1,4,8
5,4,16,1,1,2,4
6,3,32,1,1,2,8
7,3,32,1,1,16,8
8,2,32,1,1,8,3
9,1,16,1,1,2,1
10,4,16,1,1,4,2
11,4,16,1,1,8,1
12,2,32,1,1,3,16
13,2,32,1,1,8,16
14,3,16,1,1,1,2
15,4,32,1,1,16,2
16,1,16,1,1,2,1
17,2,16,1,1,8,4
18,1,16,1,1,4,1
19,3,16,1,1,1,4
20,3,32,1,1,8,16
21,2,32,1,1,2,16
22,4,16,1,1,2,4
23,1,16,1,1,1,2
24,2,16,1,1,4,1
25,3,32,1,1,2,16
26,3,32,1,1,8,3
27,3,32,1,1,16,3
28,3,32,1,1,2,8
29,1,16,1,1,8,2
30,2,32,1,1,2,3
31,2,16,1,1,8,2
32,1,16,1,1,2,1
33,1,16,1,1,4,1
34,1,32,1,1,3,16
35,4,16,1,1,2,8
36,4,16,1,1,8,1
